288.985 30.296 3C399.1  B1952+29,B1919+21,B1918+26,J1912+2525,B1951+32,B1935+25,J1849+2423
289.516 10.692 3C399.2  B1929+10,J1908+0734,J1918+1541,B1855+09,J1944+0907,B1916+14,J1848+0647,J1917+0834,J1951+1123,B1949+14,J1915+0738,J1911+1758,B1848+13,B1914+09,B1913+167,J1909+1859,B1848+12,J1938+0650,J1901+1306
290.949 14.498 3C400  B1929+10,J1908+0734,B1919+21,J1918+1541,B1855+09,B1944+17,J1944+0907,B1916+14,J1951+1123,B1949+14,J1915+0738,J1911+1758,B1848+13,B1914+09,B1913+167,J1909+1859,B1848+12,J1938+0650,B1937+21,J1901+1306
291.152 35.999 3C400.1  B1946+35,B2000+40,B1905+39,B1951+32,B2000+32,J1937+2950,J1931+30,J1900+30
294.686 17.515 3C400.2  B1929+10,B1919+21,J1918+1541,B1944+17,J1944+0907,B1916+14,B1957+20,J1951+1123,B1949+14,J1911+1758,B1935+25,B1913+167,J1909+1859,B1937+21
295.096 60.701 3C401  B1839+56,J1836+5925
295.446 50.611 3C402  B2021+51,B1953+50,B2022+50,J2027+4557
298.061 02.620 3C403  B1923+04,B1917+00,J2005-0020,B1942-00,J1944+0907,J1938+0650,J1941+1026,J2007+0910,J1951+1123,J1939+10,J1933+0758,J2007+0809,J1956+0838,J1950+05,J1947+10,J1947+0915,J1943+0609,J1929+00,J1919+0134
298.124 -1.870 3C403.1  B2003-08,B1917+00,J2005-0020,B1942-00,J1950+05,J1943+0609,J1929+00,J1919+0134
298.488 32.032 3C403.2  B1952+29,J2015+2524,B2016+28,B2020+28,B1918+26,B1951+32,B1935+25,J2008+2513
299.872 40.738 3C405  B1946+35,B2000+40,B2011+38,B2027+37,B1951+32,B2035+36,B2000+32,J2032+4127,J2027+4557,J2021+4026,J2021+3651,J2018+34,J2011+33,J2010+32,J2009+33
303.617 23.575 3C409  B1952+29,J2015+2524,B2016+28,B1944+17,J2043+2740,B2020+28,J2033+17,B1957+20,J2016+1948,B2034+19,J2040+1657,B1935+25,J2008+2513,J2017+2043,J2048+2255,B1937+21,B2028+22
304.910 45.358 3C409.1  B2021+51,B2000+40,B2106+44,B2011+38,B1953+50,B2027+37,B2022+50,B2036+53,J2047+5029,J2044+4614,J2032+4127,J2027+4557,J2021+4026,J2021+3651
305.022 29.699 3C410  B1952+29,J2015+2524,B2016+28,J2043+2740,B2020+28,B1951+32,J2008+2513,J2017+2043,B2028+22
305.348 40.260 3C410.1  B1946+35,B2000+40,B2053+36,B2011+38,B2027+37,B2035+36,B2000+32,J2044+4614,J2032+4127,J2027+4557,J2021+4026,J2021+3651,J2018+34,J2011+33,J2010+32,J2009+33
305.546 10.144 3C411  B2044+15,B1949+14,J2045+0912,J2033+17,J1953+1149,J2007+0910,J1951+1123,J2040+1657,J2050+13,J2002+1637,J2007+0809,J1956+0838,J1950+05,J1947+10,J1947+0915
308.208 43.471 3C415.1  B2111+46,B2021+51,B2000+40,B2053+36,B2106+44,B2011+38,B2027+37,B2022+50,B2035+36,J2047+5029,J2044+4614,J2032+4127,J2027+4557,J2021+4026,J2021+3651
308.179 53.748 3C415.2  B2021+51,B1953+50,B2022+50,B2045+56,B2036+53,J2047+5029,J2044+4614,J2027+4557
308.758 47.040 3C416.1  B2111+46,B2021+51,B2000+40,B2106+44,B1953+50,B2022+50,B2036+53,J2047+5029,J2044+4614,J2032+4127,J2027+4557,J2021+4026
308.948 41.724 3C416.2  B2111+46,B2000+40,B2053+36,B2106+44,B2011+38,B2027+37,B2035+36,J2044+4614,J2032+4127,J2027+4557,J2021+4026,J2021+3651,J2018+34
309.653 51.295 3C418  B2111+46,B2021+51,B2106+44,B1953+50,B2022+50,B2045+56,B2036+53,J2047+5029,J2044+4614,J2027+4557
310.222 42.279 3C419.1  B2111+46,B2000+40,B2053+36,B2106+44,B2011+38,B2027+37,B2022+50,B2035+36,J2047+5029,J2044+4614,J2032+4127,J2027+4557,J2021+4026,J2021+3651,J2018+34
312.050 07.075 3C424  B2044+15,J2045+0912,J2050+13,J2033+00
316.126 76.801 3C427.1  NONE
317.107 49.568 3C428  B2111+46,B2021+51,B2106+44,B2148+52,B2022+50,B2045+56,B2036+53,J2047+5029,J2044+4614,J2027+4557
319.556 60.795 3C430  B2148+63,B2224+65,B2227+61,B2045+56,J2229+6114,J2217+5733,J2208+5500
319.731 49.572 3C431  B2111+46,B2106+44,B2148+52,B2022+50,B2045+56,B2036+53,J2047+5029,J2044+4614
320.696 17.088 3C432  B2044+15,B2113+14,B2053+21,B2122+13,B2127+11A,B2127+11B,B2127+11C,J2050+13,B2127+11D,B2127+11H,B2127+11E,B2127+11G,B2127+11F,J2139+2242
320.942 25.094 3C433  B2110+27,B2053+21,J2156+2618,J2155+2813,J2048+2255,J2151+2315,J2139+2242
321.028 16.032 3C434  B2113+14,B2122+13,B2127+11A,B2127+11B,B2127+11C,J2050+13,B2127+11D,B2127+11H,B2127+11E,B2127+11G,B2127+11F,J2139+2242
321.192 52.016 3C434.1  B2111+46,B2106+44,B2148+52,B2045+56,B2036+53,J2208+5500,J2047+5029,J2044+4614
322.280 07.669 3C435  B2113+14,B2122+13,B2127+11A,B2127+11B,B2127+11C,B2127+11D,B2127+11H,B2127+11E,B2127+11G,B2127+11F,J2143+0654,J2139+00
322.708 84.623 3C435.1  NONE
326.054 28.159 3C436  B2110+27,B2210+29,J2156+2618,J2155+2813,J2151+2315,J2222+2923,J2139+2242
326.849 15.282 3C437  B2113+14,B2122+13,J2215+1538,B2127+11A,J2151+2315,J2205+1444,B2127+11B,B2127+11C,B2127+11D,B2127+11H,B2127+11E,B2127+11G,B2127+11F,J2143+0654,J2139+2242
327.704 13.935 3C437.1  B2113+14,B2122+13,J2215+1538,B2127+11A,J2205+1444,B2127+11B,B2127+11C,B2127+11D,B2127+11H,B2127+11E,B2127+11G,B2127+11F,J2143+0654
328.968 38.001 3C438  B2154+40
331.524 29.522 3C441  J2229+2643,B2210+29,J2156+2618,J2227+30,J2155+2813,J2151+2315,J2222+2923
333.844 13.833 3C442  J2215+1538,J2235+1506,J2234+2114,J2205+1444,J2243+1518
335.950 -2.156 3C445  J2248-0101
337.842 39.207 3C449  B2217+47,B2154+40,B2310+42,J2227+30
341.456 39.675 3C452  B2310+42,B2303+46
342.903 18.831 3C454  J2317+1439,B2315+21,J2235+1506,J2234+2114,J2253+1516,J2307+2225,J2243+1518,J2322+2057
342.789 71.866 3C454.1  B2224+65,B2241+69,J0007+7303
343.065 65.066 3C454.2  B2319+60,B2255+58,B2148+63,B2224+65,B2351+61,B2324+60,B2227+61,J2302+6028,B2334+61,B2323+63,B2241+69,J2301+5852,J2240+58,J2238+59,J2229+6114,J2217+5733
343.544 15.267 3C454.3  J2317+1439,B2315+21,J2235+1506,J2234+2114,J2253+1516,J2307+2225,J2243+1518,J2322+2057
343.797 13.467 3C455  J2317+1439,J2235+1506,J2253+1516,J2243+1518
348.148 09.372 3C456  J2317+1439,J2253+1516
348.220 05.372 3C458  J2248-0101
349.149 04.190 3C459  J2248-0101
350.371 23.809 3C460  B2303+30,B2315+21,J2307+2225,J2322+2057
350.860 58.826 3C461  B2319+60,B2255+58,B2306+55,B2351+61,B2324+60,B2227+61,J2302+6028,B2334+61,B2323+63,J2301+5852,J2240+58,J2238+59,J2229+6114,J2217+5733,J0026+6320
354.631 26.947 3C465  B2303+30,B2315+21,J2307+2225,J2322+2057
357.765 64.678 3C468.1  B2319+60,B2255+58,B2224+65,B2351+61,B2324+60,J2302+6028,B2334+61,B0105+65,B0059+65,B2323+63,B0105+68,B2241+69,J2301+5852,J0026+6320,J0007+7303
358.980 80.078 3C469.1  J0007+7303
359.655 44.105 3C470  B2310+42,B0011+47
